rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
11,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,3.64,1005199616,-5.94,-14.75,-8.08,1.54,5D <= -12.0%,,"Why Is Brazilian Rare Earths Limited (ASX:BRE) in Focus? - Kalkine Media | Brazilian Rare Earths (ASX:BRE) Share Price Falls 8% Today, Company Withdraws Production and Financial Forecasts - Kalkine | Insiders In Brazilian Rare Earths Still Down 33% On AU$90.2m Investment - simplywall.st | Rare Earths Stocks: 5 Biggest ASX Companies in 2026 - Investing News Network | Following a key approval, one broker tips 80% upside for this ASX rare earths stock - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,candidate,GGP.AX,GREATLAND RESOURCES LTD,11.1,7488808448,-5.85,-17.96,-0.18,1.38,5D <= -12.0%,,"Why Greatland Resources Ltd (ASX:GGP) Advanced on 17 August 2026 - Kalkine | Greatland Resources Shares Pull Back, As Key Levels Come Into Play - thebull.com.au | Why this ASX 200 gold stock is falling despite beating guidance - The Motley Fool Australia | Greatland Resources shares surge as Telfer update sinks in amid a sector re-rating | AIM:GGP, OTC:GRLGF, ASX:GGP - Proactive financial news | Greatland Resources (ASX:GGP): Why Investors Are Closely Watching This Gold-Copper Stock - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,candidate,DYL.AX,DEEP YELLOW LTD,1.54,1500271488,-5.81,-14.44,9.22,0.99,5D <= -12.0%,,"Deep Yellow Ltd (ASX:DYL) World Nuclear Association Symposium Investor Presentation - ABN Newswire | Why Could Deep Yellow (ASX:DYL) Matter for Midcap Stocks? - Kalkine Media | What’s Driving High-Volume Selling in Deep Yellow (ASX:DYL) Yellow Shares? - Kalkine | Up 55% in a year, why Deep Yellow shares still ‘appear cheap’ - The Motley Fool Australia | Deep Yellow (ASX:DYL) Pulls Back Over 7% — What Is Behind the Uranium Developer’s Fall? - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,candidate,PNI.AX,PINNACLE INVESTMENT MANAGEME,14.28,3440909056,-5.8,-18.74,-24.48,2.83,5D <= -12.0%; 20D <= -20.0%,,Pinnacle Investment Management Group Limited (ASX:PNI): Could Higher Rates and Stronger Margins Put This Financial Stock in Focus? - Kalkine | Pinnacle Investment Management (ASX:PNI): Multi-Affiliate Model Remains Central to Growth Strategy - Kalkine | Pinnacle Investment Management (ASX:PNI) Is on the Move: What's Behind Today's Share Price Action? - Kalkine | 3 Australian Founder Led Stocks Built For Higher Rates - simplywall.st | Pinnacle (ASX:PNI) Shares Near Fair Value After One Off Boost - simplywall.st,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,candidate,MI6.AX,MINERALS 260 LTD,0.81,1840258816,-5.26,-14.29,22.73,0.62,5D <= -12.0%,,"Minerals 260 (ASX:MI6): The Small-Cap Resources Stock Suddenly Getting Attention - Kalkine | Minerals 260 Limited (ASX:MI6) Is Expected To Breakeven In The Near Future - simplywall.st | Buy, hold, sell: James Hardie, Adairs, Minerals 260 shares - The Motley Fool Australia | Insights: Minerals 260 Limited (ASX:MI6) - smallcaps.com.au | Minerals 260 Limited Actuals & Estimates (ASX:MI6) - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,candidate,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,9.4,2084000256,-5.05,-16.37,22.88,0.81,5D <= -12.0%,,Electro Optic Systems half-year earnings surge on booming defence demand - The Motley Fool Australia | Why Electro Optic Systems’ (ASX:EOS) Shares Are Down Today? - Kalkine | New Counter-Drone Order (US$124m) and Middle East JV for Laser Weapons and RWS - Electro Optic Systems | Electro Optic Systems upsizes share purchase plan to $40M - grafa.com | Kalkine Stock Spotlight: Why Electro Optic Systems' (ASX:EOS) Share Purchase Plan Gained Limelight? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,candidate,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,8.31,2431571712,-4.48,-22.6,-17.44,3.52,5D <= -12.0%,,"Magellan Financial Group (ASX:MFG): Fund Management Recovery Strategy Remains in Focus - Kalkine | Magellan Financial Group (ASX:MFG) Shares Sink As Fee Compression Deepens - simplywall.st | What's Behind the Magellan Financial Group (ASX:MFG) Share Price Fall? - Kalkine | Magellan Financial Group posts FY26 earnings; to rebrand as Barrenjoey - The Motley Fool Australia | Magellan Financial Shares Today’s ASX 200 Laggard, But What Lay Ahead? - thebull.com.au",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,candidate,LOV.AX,LOVISA HOLDINGS LTD,24.03,2661058304,-4.3,-13.0,-8.25,0.89,5D <= -12.0%,,"Lovisa Holdings (ASX:LOV) Shares Slide: Here's What Investors Need to Know - Kalkine | Why Is Lovisa (ASX:LOV) in Focus? - Kalkine Media | Lovisa Holdings Ltd (ASX: LOV) Share Price, LOV Stock News, LOV Share Price & Updates - Kalkine | Lovisa Holdings Limited (ASX:LOV) Shares Could Be 31% Below Their Intrinsic Value Estimate - simplywall.st | LOV Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,candidate,WBT.AX,WEEBIT NANO LTD,3.46,831880192,-4.16,-13.07,-22.94,0.96,5D <= -12.0%; 20D <= -20.0%,,"Kalkine ASX Analysis: Weebit Nano Ltd (ASX:WBT) Falls on Strong Volume—What's Behind the Move? - Kalkine | Stock of the day: Weebit Nano - ig.com | Why Capstone Copper, Weebit Nano, and Fortescue shares are turning heads on Friday - The Motley Fool Australia | Weebit Nano (ASX:WBT) Climbs — What's Driving Momentum in This Chip Stock? - Kalkine | Stock of the day: Weebit Nano - ig.com",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,candidate,SDR.AX,SITEMINDER LTD,2.82,798299328,-3.42,-9.32,-23.58,1.73,20D <= -20.0%,,SiteMinder (ASX:SDR): Why This Could Be a September Tech Stock to Watch as AI and Software Demand Accelerate - Kalkine | SiteMinder (ASX:SDR) Share Price News - The Motley Fool Australia | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st | What’s Driving the Weak Sentiment in SiteMinder (ASX:SDR) Stock on ASX Today? - Kalkine | Rethinking the way we invest in Aussie tech - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,candidate,CAR.AX,CAR GROUP LTD,25.73,9753479168,-2.91,-12.06,-4.99,0.43,5D <= -12.0%,,Undervalued ASX share drives earnings growth despite AI fears - Morningstar Australia | CAR Group (ASX:CAR) Shares Retreat With FY27 Growth Outlook in Focus - Kalkine | What Is Keeping REA (ASX:REA) and CAR Group (ASX:CAR) in Focus Among Communication Stocks? - Kalkine Media | Why this beaten down $9 billion ASX 200 share is now a buy - The Motley Fool Australia | Undervalued tech share oversold on AI fears - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,candidate,DRO.AX,DRONESHIELD LTD,1.72,1586751872,-2.83,-1.15,-21.69,0.46,20D <= -20.0%,,Why Is DroneShield (ASX:DRO) in Focus Among Industrial Stocks? - Kalkine Media | DroneShield share price in focus as record revenue meets interim loss - The Motley Fool Australia | DroneShield Ltd (ASX:DRO) Falls: Are New Products Enough to Reverse Recent Weakness? - Kalkine | DroneShield (ASX:DRO) share price falls 10% on HY26 trading update - Rask Media | DroneShield Shares Fall 29% in July As Bulls Search For Support - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
23,candidate,RPL.AX,REGAL PARTNERS LTD,2.41,558878464,-2.82,-14.73,-15.87,1.19,5D <= -12.0%,,Regal Partners (ASX:RPL) Gains Market Attention After Record Funds Under Management and Profit Growth - Kalkine | Have Regal Partners Insiders Been Selling Stock? - simplywall.st | Could this be the best ASX dividend share to buy now? - The Motley Fool Australia | Regal Partners Ltd (ASX:RPL): The Hidden Story Behind Its Strong Dividend Appeal - Kalkine Media | RPL Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
24,candidate,TPW.AX,TEMPLE & WEBSTER GROUP LTD,4.75,553596928,-2.06,-1.45,-22.64,0.57,20D <= -20.0%,,Temple & Webster Group Ltd (ASX:TPW) Share Price Falls as Investors Track Profitability and Growth Balance - Kalkine | Temple & Webster earnings: Record revenue and profit growth in FY26 - The Motley Fool Australia | Temple & Webster (ASX:TPW) Shares Reset As Margins Thin And Earnings Slip - simplywall.st | Temple & Webster Updates Market on Ongoing Share Buy-Back Activity - theglobeandmail.com | Temple & Webster (ASX:TPW) FY26 Results: Record Revenue Meets a Sharper FY27 Trading Challenge - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
25,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.36,687207040,-2.04,-4.0,-24.51,1.08,20D <= -20.0%,,Hansen Technologies (ASX:HSN): Is the Market Setting Up for the Next Digital-Growth Re-Rating? - Kalkine | How Investors Are Reacting To Hansen Technologies (ASX:HSN) FY26 Results And M&A-Focused Capital Plan - simplywall.st | Is Hansen Technologies' (ASX:HSN) M&A Tilt and Buyback Focus Quietly Redefining Its Investment Story? - Yahoo Finance | Hansen Technologies (ASX:HSN) Cash Acceleration Is the Story in 1H FY26 - Stocks Down Under | 3 ASX opportunities after earnings season - Morningstar Australia,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
26,candidate,IRE.AX,IRESS LTD,5.43,1014266816,-1.99,-9.45,-23.31,1.64,20D <= -20.0%,,"IRESS’ (ASX:IRE) Cash EBITDA Surges 47%: Why This Could Be a September Tech Stock to Watch - Kalkine | Income Investors Should Know That Iress Limited (ASX:IRE) Goes Ex-Dividend Soon - simplywall.st | Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Buy, hold, or sell? Life360, Iress, Lynas Rare Earths shares - The Motley Fool Australia | Iress Ltd (ASX:IRE): Financial Technology Growth Drives a Rising Dividend - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
27,candidate,ARF.AX,ARENA REIT,2.25,918667264,-1.32,-5.46,-30.34,0.62,20D <= -20.0%,default,"After falling 33% over two days, a huge 77% rebound for this ASX real estate stock is tipped - The Motley Fool Australia | Arena REIT (ASX:ARF) Shares Rise as Investors Assess Social Infrastructure Property Exposure - Kalkine | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st | ASX real estate stocks have been slammed by rate hikes, is it time to buy the dip? - Market Index | Arena REIT (ASX:ARF): Is This High-Occupancy Property Trust Still Worth Considering? - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
28,candidate,4DX.AX,4DMEDICAL LTD,3.39,2033773952,-0.88,-11.02,-28.18,0.86,20D <= -20.0%,,4DMEDICAL Ltd (ASX: 4DX) Share Price Rises on the ASX Health Care Sector – 20 August 2026 Update - Kalkine | Can 4DMedical (ASX:4DX) Keep Its Strong Momentum Going? - Kalkine Media | 4DMEDICAL Ltd (ASX: 4DX) Share Price Falls 5.10% as Stock Trades Within Its Daily Range - Kalkine | Why 4DMEDICAL Ltd (ASX:4DX) Stock Is Down Today - Kalkine | Why 4DMedical (ASX:4DX) Shares Are Climbing Today? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
29,candidate,CHC.AX,CHARTER HALL GROUP,19.01,8991676416,-0.52,-7.76,-20.86,1.45,20D <= -20.0%,,"Charter Hall Group (ASX:CHC): Investment Capacity, Acquisitions and Earnings Take Centre Stage - Kalkine | Charter Hall Group (ASX:CHC) Is Down 5.9% After Strong FY26 Profit Lift Has The Bull Case Changed? - webull.com | Charter Hall Group (ASX: CHC) FY26 Earnings Jump 27% Amid a Senior Leadership Reshuffle — Is Property Funds Management Ready to Rebound? - Kalkine | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | ASX property share lifts guidance despite sector headwinds - Morningstar Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
30,candidate,NAN.AX,NANOSONICS LTD,2.69,804070272,-0.37,-4.95,-22.48,1.17,20D <= -20.0%,,"Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine | Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | ASX Growth Stocks With High Insider Ownership - simplywall.st | Can Nanosonics (ASX:NAN) Repair Device Sentiment? - Kalkine Media | My 3 higher-risk, high-reward ASX stock recommendations for February 2026 - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
31,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.06,1223747584,0.0,-20.31,-27.32,0.97,5D <= -12.0%; 20D <= -20.0%,,Generation Development Group (ASX:GDG) Shares Drift As FUM Strength Meets Thin Margins - simplywall.st | Generation Development Group (ASX:GDG) Faces Market Pressure Despite Record FY26 Growth - Kalkine | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Generation Development Group falls 20% after FUM growth misses expectations - Capital Brief | Generation Development Group Shares Lag The ASX 200 Today – The Latest - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
32,candidate,LIC.AX,LIFESTYLE COMMUNITIES LTD,5.02,611135104,0.4,-13.0,-5.46,1.04,5D <= -12.0%,,"Lifestyle Communities (ASX:LIC) Rises: Examining the Land Lease Housing Operator - Kalkine | Lifestyle Communities (ASX:LIC) Shares Face Margin Questions After Debt Reset - simplywall.st | Lifestyle Communities waiting for market upturn to grow, CEO says - AFR | This beaten-down ASX stock just exploded 16%. Here’s why - The Motley Fool Australia | Bullish Lifestyle Communities Insiders Loaded Up On AU$20.5m Of Stock - Yahoo Finance",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
33,candidate,SIQ.AX,SMARTGROUP CORP LTD,11.3,1468751232,1.71,-12.88,-16.23,2.28,5D <= -12.0%,,"Does Smartgroup’s (ASX:SIQ) Higher Earnings and Dividend Reveal a New Capital Allocation Playbook? - simplywall.st | Smartgroup Corporation Ltd (ASX:SIQ) Retreats: What Could Reignite Growth Momentum? - Kalkine | Insights: Smartgroup Corporation Ltd (ASX:SIQ) - smallcaps.com.au | Smartgroup Corporation (ASX:SIQ) Takes a Breather After a Standout Year for Shareholders - Kalkine | With 53% ownership, Smartgroup Corporation Ltd (ASX:SIQ) boasts of strong institutional backing - Yahoo Finance",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
