rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,SEK.AX,SEEK LTD,12.8,4582018560.0,-5.6,-6.57,-5.39,0.68,1D <= -4.0%,,"SEEK Ltd (ASX:SEK) Stock Declines — What Is Behind the Selling Despite a Record Dividend? - Kalkine | ASX growth share with attractive dividend - Morningstar Australia | Are Seek (ASX:SEK) Shares Rebuilding A Steadier Base? - Kalkine Media | Seek Shares (SEK) Hit Decade Low as Pressures Mount: The Latest - thebull.com.au | Why CBA, Seek, and AGL shares are turning heads on Wednesday - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,CAT.AX,CATAPULT SPORTS LTD,3.06,966885056.0,-2.55,-3.16,-15.47,0.74,20D <= -15.0%,,"Catapult Sports (ASX:CAT): Record Revenue and 67% Profit Surge: Why This ASX Stock Could Be One to Watch in September - Kalkine | Why Is Catapult (ASX:CAT) Reaffirming Sports Tech Guidance? - Kalkine Media | ASX August 2026 Stocks Estimated Below Fair Value - simplywall.st | CATAPULT SPORTS LTD Share Price - CAT, RNS News, Articles, Quotes, & Charts (ASX:CAT) - Proactive financial news | Buy, hold, sell: Catapult Sports, Worley, CBA shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,near_miss,NCK.AX,NICK SCALI LTD,14.26,1219667712.0,-2.53,-2.13,-16.27,0.68,20D <= -15.0%,,Nick Scali (ASX:NCK): Why This Could Be a September Retail and Consumer Stock to Watch - Kalkine | Why is Nick Scali (ASX:NCK) leaning harder on the UK? - Kalkine Media | Nick Scali shares in focus after 22% NPAT jump in FY26 earnings - The Motley Fool Australia | When Should You Buy Nick Scali Limited (ASX:NCK)? - simplywall.st | Nick Scali sinks despite H1 beat as January trading update spooks investors - Market Index,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,near_miss,QAL.AX,QUALITAS LTD,2.6,783703680.0,-2.26,-5.54,-18.0,0.67,20D <= -15.0%,,Qualitas (ASX: QAL) - Why This Real Estate Credit Stock Is Under Watch - Kalkine | Need To Know: The Consensus Just Updated Its Qualitas Limited (ASX:QAL) Estimates For 2026 - simplywall.st | 4 ASX shares scoring upgraded ratings this week - The Motley Fool Australia | Qualitas (ASX:QAL) Shares Climb as Private Credit Heavyweight Quietly Extends Its Recovery - Kalkine | Qualitas (ASX:QAL): Why Is an ASX 300 Entry in Focus? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,near_miss,SIQ.AX,SMARTGROUP CORP LTD,10.97,1425858560.0,-2.23,-1.06,-16.56,0.77,20D <= -15.0%,,"Smartgroup Corporation Executes On-Market Buy-Back of 577,000 Shares Worth AUD 6.47 Million - Kalkine Media | Smartgroup Corporation Ltd (ASX:SIQ) Retreats: What Could Reignite Growth Momentum? - Kalkine | Guess which ASX 300 stock is outperforming today on $20 million buyback news - The Motley Fool Australia | Will Smartgroup (ASX:SIQ) Keep Its Dividend Run Going? - Kalkine Media | Does Smartgroup (ASX:SIQ) EV Leasing Surge Reveal a Durable Edge in Employee Services? - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
16,near_miss,FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,11.21,2295654912.0,-2.1,-3.11,-15.08,0.81,20D <= -15.0%,downgrade,"Flight Centre Travel Group (ASX:FLT) Enters FY27 With Improving Profits and Travel Demand Intact - Kalkine | Flight Centre Travel Group (ASX:FLT) As Earnings And Dividend Put Its Valuation Back In Focus - simplywall.st | Buy, hold, sell: Dicker Data, Polynovo, Flight Centre shares - The Motley Fool Australia | Why it’s not all bad news for Flight Centre following downgrade - Morningstar Australia | Flight Centre Travel Group (ASX:FLT): What’s Behind the Lift? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
17,near_miss,WTC.AX,WISETECH GLOBAL LTD,34.53,11612544000.0,-2.04,-8.29,-14.57,0.88,5D <= -8.0%,,"WiseTech shares are down 62%. Why are brokers still bullish? - The Motley Fool Australia | WiseTech Global (ASX:WTC): Leadership Renewal, e2open Integration and the Next Phase of Global Growth - Kalkine | Why I’m buying WiseTech shares before the market catches on - The Motley Fool Australia | Chart of the Week: Can WiseTech shares finally bounce back? - Morningstar Australia | What Is WiseTech Global (ASX:WTC) Delivering Next? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
18,near_miss,IPH.AX,IPH LTD,3.26,836147840.0,-1.81,-2.4,-18.54,1.08,20D <= -15.0%,,"Why IPH Ltd (ASX:IPH) Could Be One to Watch in September - Kalkine | Rural Funds Group, IPH and HomeCo: High-Yield ASX Shares - Kalkine Media | CITIWARRANTS 2.6918 IPH MINI LONG (ASX:IPHKOA) - intelligentinvestor.com.au | IPH Ltd FY26 earnings: resilient profit growth and higher dividend - The Motley Fool Australia | IPH (ASX:IPH)Dividend Yield in Focus, Stock on Radar of Income Investors - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
19,near_miss,WES.AX,WESFARMERS LTD,74.16,84192567296.0,-1.41,-3.89,-15.7,1.13,20D <= -15.0%,,"Wesfarmers (ASX:WES) Shares Retreat With Bunnings, Kmart and Lithium in Focus - Kalkine | Why Does Wesfarmers (ASX:WES) Keep Winning Retail? - Kalkine Media | What Is Wesfarmers Limited's (ASX:WES) Share Price Doing? - Yahoo Finance | Wesfarmers shares: Buy, hold or sell? - The Motley Fool Australia | Why Wesfarmers Limited (ASX:WES) Could Be Worth Watching - simplywall.st",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
20,near_miss,CMW.AX,CROMWELL PROPERTY GROUP,0.37,955886336.0,-1.35,-2.67,-16.09,1.33,20D <= -15.0%,,Cromwell Property Group (ASX:CMW) Gains Ground—Can Portfolio Repositioning Lift Returns? - Kalkine | Cromwell Property Group (ASX:CMW) Shares Hinge On Yield Or Manager Shift - simplywall.st | Cromwell Property Group (ASX:CMW) FY26 FFO Rises 5% as Assets Under Management Grow to $4.7 Billion - Kalkine | ASX Hidden Value Opportunities Cromwell Property Group Plus Two More Stocks With Estimated Discounted Prices - Yahoo Finance | ASX:CMW Cromwell Property Group: Why Is Growth Back in Focus? - Kalkine Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
21,near_miss,ZIP.AX,ZIP CO LTD,2.28,2840701696.0,-1.3,-6.17,-18.28,0.55,20D <= -15.0%,,Zip Co No Longer Has Australian Retirement Trust as Substantial Holder Following Share Sales - Kalkine | Why Zip shares took investors on a wild ride in August - The Motley Fool Australia | Does Zip Co (ASX:ZIP) Buyback Reflect Margin Strength or Limited Reinvestment Opportunities? - simplywall.st | Zip Co reports record FY26 earnings and outlines growth strategy - The Motley Fool Australia | Why Zip Co (ASX:ZIP) Shares Are Trading Lower Today? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
22,near_miss,PNI.AX,PINNACLE INVESTMENT MANAGEME,14.77,3559348736.0,-1.2,3.43,-19.16,0.73,20D <= -15.0%,,Macquarie says this ASX financial share could jump 65% - The Motley Fool Australia | Pinnacle Investment Management (ASX:PNI): How a Multi-Manager Platform Is Expanding Its Global Investment Reach - Kalkine | Why Is Pinnacle Investment Management Group (ASX:PNI) in Focus Across Mid Cap Stocks? - Kalkine Media | Why I Won't Buy Pinnacle Investment Management Group (ASX: PNI) Shares After the FY 2026 Results - A Rich Life | Pinnacle Investment Management (ASX:PNI) Is on the Move: What's Behind Today's Share Price Action? - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
23,near_miss,DRO.AX,DRONESHIELD LTD,1.73,,-0.86,0.87,-15.2,0.31,20D <= -15.0%,,3 reasons to buy DroneShield shares after their 74% decline - The Motley Fool Australia | DroneShield (ASX:DRO): Why Global Defence Spending is Putting This Counter-Drone Stock on Every Watchlist - Kalkine | DroneShield (ASX:DRO) Leads ASX’s Most Shorted Shares - Kalkine Media | Hedge funds circle hyped-up ASX stocks that make ‘SpaceX look cheap’ - AFR | DroneShield (ASX:DRO) share price falls 10% on HY26 trading update - Rask Media,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
24,near_miss,TNE.AX,TECHNOLOGY ONE LTD,28.94,9474045952.0,-0.75,-8.01,-12.06,1.03,5D <= -8.0%,,Technology One Limited (ASX:TNE): Could the ASX Tech Rebound Put This Growth Stock Back in Focus? - Kalkine | Chart of the Week: Why ASX tech is poised for a comeback - Morningstar Australia | Why Is TechnologyOne (ASX:TNE) in Focus Across Australian Technology Stocks? - Kalkine Media | TechnologyOne is the lone bright spot in a brutal year for ASX tech - Market Index | How Investors May Respond To Technology One (ASX:TNE) Elevating CFO Into Regulated-Industries Leadership Role - simplywall.st,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
25,near_miss,CU6.AX,CLARITY PHARMACEUTICALS LTD,2.36,880471616.0,-0.42,3.96,-16.01,0.84,20D <= -15.0%,,Clarity Pharmaceuticals (ASX:CU6) and 6 Healthcare Stocks to Watch - Kalkine Media | Clarity Pharmaceuticals Ltd (ASX:CU6) Stock Slides: What Investors Should Know - Kalkine | Clarity Pharmaceuticals Shares Close At 52-Week Low: The Latest - thebull.com.au | Clarity Pharmaceuticals (ASX:CU6): Why This ASX Healthcare Stock Investors May Be Watching Closely - Kalkine | Clarity Pharmaceuticals (ASX:CU6) Advances SECuRE Trial With Additional Complete Responses - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
26,near_miss,JBH.AX,JB HI-FI LTD,65.95,,-0.18,-0.6,-19.43,0.81,20D <= -15.0%,,JB Hi-Fi (ASX:JBH): Can Australia's Record-Breaking Retailer Keep Its Winning Streak Alive? - Kalkine | Is JB Hi-Fi (ASX:JBH) Still Executing on Retail? - Kalkine Media | Down 14% today: Are JB Hi-Fi shares now a bargain-bin buy? - The Motley Fool Australia | Only Three Days Left To Cash In On JB Hi-Fi's (ASX:JBH) Dividend - simplywall.st | JB Hi-Fi (ASX:JBH) lifts payout to 75% as dividend policy re-rates the story - Stocks Down Under,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
27,near_miss,VSL.AX,VULCAN STEEL LTD,5.16,756094528.0,0.19,-9.63,-0.19,0.28,5D <= -8.0%,,"Vulcan Steel Limited Discloses Lapse of 439,963 Performance Share Rights - Kalkine | Vulcan Steel Limited (ASX: VSL): Potential Inverse Head & Shoulders Signals a Possible Trend Reversal - Kalkine | VSL Forecast — Price Target — Prediction for 2027 - TradingView | Why Civmec, Fenix, Paladin Energy, and Vulcan Steel shares are pushing higher today - The Motley Fool Australia | Vulcan Steel (ASX:VSL) on the Move: What's Behind the Interest in This Metal Distributor? - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
28,near_miss,ABB.AX,AUSSIE BROADBAND LTD,4.14,1305859712.0,0.24,-0.33,-15.8,0.77,20D <= -15.0%,,"Aussie Broadband Buys Back 393,498 Shares on 8 September 2026 - Kalkine | What Is Aussie Broadband (ASX:ABB) Doing Differently? - Kalkine Media | Aussie Broadband Limited (ASX:ABB) Passed Our Checks, And It's About To Pay A AU$0.036 Dividend - simplywall.st | Aussie Broadband (ASX:ABB) Going Ex-Dividend: Stock Investors Should Watch Tomorrow - Kalkine | Is Aussie Broadband (ASX:ABB) Winning the Service Race? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
29,near_miss,SLC.AX,SUPERLOOP LTD,2.72,1401338880.0,0.37,-4.9,-15.53,0.99,20D <= -15.0%,,What Is Driving Superloop (ASX:SLC) To Record Earnings? - Kalkine Media | Superloop (ASX: SLC) Share Price Remains Under Pressure on Thursday – Here’s Why - Kalkine | Investing in Superloop (ASX:SLC) three years ago would have delivered you a 248% gain - Yahoo Finance | Superloop Limited (ASX:SLC) Shares Slammed 26% But Getting In Cheap Might Be Difficult Regardless - simplywall.st | SLC Forecast — Price Target — Prediction for 2027 - TradingView,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
30,near_miss,NWL.AX,NETWEALTH GROUP LTD,19.96,4900304896.0,0.86,-0.68,-17.46,0.77,20D <= -15.0%,,"Netwealth Group (ASX:NWL): Why This Could Be One ASX Financial Stock Investors May Be Watching Into September - Kalkine | Is Netwealth (ASX:NWL) Still Winning The Platform Race? - Kalkine Media | Netwealth Shares Bounce 22%, As Momentum Shifts: The Latest - thebull.com.au | 2 ASX 200 stocks that could rise 31% and 121% - The Motley Fool Australia | Netwealth Group (ASX:NWL) Falls — Is Its Premium Valuation Coming Under Pressure? - Kalkine",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
31,near_miss,WA1.AX,WA1 RESOURCES LTD,11.16,829683200.0,1.09,1.27,-16.22,0.68,20D <= -15.0%,,"ASX Emerging Resources Stocks for September 2026: WA1 Resources, Black Cat Syndicate and Aurelia Metals in Focus - Kalkine | Breakeven On The Horizon For WA1 Resources Ltd (ASX:WA1) - simplywall.st | We Might See A Profit From WA1 Resources Ltd (ASX:WA1) Soon - Yahoo Finance | WA1 Resources expands Luni resource and strengthens cash position in June quarter - The Motley Fool Australia | WA1 Forecast — Price Target — Prediction for 2027 - TradingView",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
32,near_miss,VUL.AX,VULCAN ENERGY RESOURCES LTD,2.6,1244517888.0,1.56,0.78,-16.13,0.45,20D <= -15.0%,,Vulcan Energy Resources (ASX: VUL) Drops — Can the Company Regain Investor Confidence? - Kalkine | Why Is Vulcan Energy Resources (ASX:VUL) Advancing Its European Lithium Ambitions? - Kalkine Media | Vulcan Energy Resources quarterly update: Lionheart milestone reached - The Motley Fool Australia | Vulcan Energy Resources Ltd. Actuals & Estimates (ASX:VUL) - TradingView | Is Vulcan Energy (ASX:VUL) Quietly Recasting Its Board For Deeper Mining Credibility And ESG Scrutiny? - simplywall.st,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
33,near_miss,HUB.AX,HUB24 LTD,73.34,5997288448.0,1.61,0.53,-17.06,0.99,20D <= -15.0%,,"Why HUB24 (ASX: HUB) Could Be a Financial Stock to Watch Into 2027 - Kalkine | Why Is HUB24 (ASX:HUB) in Focus as Rate Fears Return? - Kalkine Media | HUB24 Limited's (ASX:HUB) latest 10.0% decline adds to one-year losses, institutional investors may consider drastic measures - simplywall.st | HUB Forecast — Price Target — Prediction for 2027 - TradingView | 3 overvalued ASX shares going into earnings - Morningstar Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
34,near_miss,4DX.AX,4DMEDICAL LTD,3.46,2081437696.0,3.28,2.06,-16.02,0.86,20D <= -15.0%,,4DMEDICAL Ltd (ASX: 4DX) Share Price Falls 5.10% as Stock Trades Within Its Daily Range - Kalkine | ASX Stocks: 3 Companies Estimated To Be Trading Below Their Fair Value - simplywall.st | Why 4DMedical shares could still rise 65% - The Motley Fool Australia | 4DMedical (ASX:4DX) Jumps 4.65% — Why the Lung Imaging Tech Stock Is Making Moves - Kalkine | Why 4DMEDICAL Ltd (ASX:4DX) Stock Is Down Today - Kalkine,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
